Code,Collection,Category,Name,Variant Name,Price,In Stock,URL,Image URL,Description,Body
1012711,Académie Scientifique de Beauté,Sérum hydratant,Sérum Hydraderm 24h - Édition Limitée,Default Title,58,Yes,https://www.academiebeaute.com/products/serum-hydraderm-24h-edition-limitee,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Hydraderm_serum_hydraderm24H_edition_limite.png?v=1666077793;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/HydradermXXL.jpg?v=1668681946;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Gammehydraderm.jpg?v=1668681946,Pour une parfaite hydratation de votre peau.,<p>Pour une parfaite hydratation de votre peau.</p>
,,,,,,,,,,
7389000,Académie Scientifique de Beauté,Ampoules Acide Hyaluronique,Ampoules Acide Hyaluronique,Default Title,42,Yes,https://www.academiebeaute.com/products/ampoules-acide-hyaluronique,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Youth_Repair_Ampoule_collagene_acide_hyaluronique.png?v=1666187318;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/ampoules-acide.jpg?v=1669126881;https://cdn.shopify.com/s/files/1/0619/6045/4312/files/amp-acide-hy2.jpg?v=1690378141;https://cdn.shopify.com/s/files/1/0619/6045/4312/files/amp-acide-hy3.jpg?v=1690378156;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/ampoules-acide2.jpg?v=1690378156;https://cdn.shopify.com/s/files/1/0619/6045/4312/files/amp-acide-hy.jpg?v=1690378156;https://cdn.shopify.com/s/files/1/0619/6045/4312/files/amp-acide-hy4.jpg?v=1690378114,Cure intensive de 7 jours à l'Acide Hyaluronique pour une peau intensément hydratée.,<p>Cure intensive de 7 jours à l'Acide Hyaluronique <span data-mce-fragment="1">pour une peau intensément hydratée.</span></p>
,,,,,,,,,,
7345000,Académie Scientifique de Beauté,Ampoules Collagène Marin,Ampoules Collagène Marin,Default Title,40,Yes,https://www.academiebeaute.com/products/ampoules-collagene-marin,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Youth_Repair_Ampoule_collagene_marin.png?v=1666187336;https://cdn.shopify.com/s/files/1/0619/6045/4312/files/amp-collagene4.jpg?v=1690378599;https://cdn.shopify.com/s/files/1/0619/6045/4312/files/amp-collagene2.jpg?v=1690378599;https://cdn.shopify.com/s/files/1/0619/6045/4312/files/amp-collagene.jpg?v=1690378599;https://cdn.shopify.com/s/files/1/0619/6045/4312/files/amp-collagene3.jpg?v=1690378599;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/ampoules-collagene.jpg?v=1690378599;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Ampoules.jpg?v=1690378599,Cure intensive de 7 jours de Collagène Marin pour un effet anti-âge radical. ,<p>Cure intensive de 7 jours de Collagène Marin pour un effet anti-âge radical. <br></p>
,,,,,,,,,,
2082001,Académie Scientifique de Beauté,Démaquillant peaux grasses,Gel Démaquillant Purifiant,Default Title,25,Yes,https://www.academiebeaute.com/products/gel-demaquillant-purifiant,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Pure-gel_demaquillant_purifiant_vert.png?v=1666080365;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/GelDemaquillantPurifiant_310709d8-0379-4257-8936-3cafa602567f.jpg?v=1669041089;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/GelDemaquillantPurifiant2.jpg?v=1669042340;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/GammeDemaquillant_aaaeff67-537f-44a0-bd40-80123c1705f4.jpg?v=1669042343,Démaquille et élimine les impuretés.,<p>Démaquille et élimine les impuretés.</p>
,,,,,,,,,,
9106002,Académie Scientifique de Beauté,Sérum anti-âge,Soin Lift Galbe,Default Title,58,Yes,https://www.academiebeaute.com/products/soin-lift-galbe,https://cdn.shopify.com/s/files/1/0619/6045/4312/products/Youth_Active_Lift_soins_lift_galbe.png?v=1666079530;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/soin_lift_galbe3.jpg?v=1669027455;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/soin_lift_galbe.jpg?v=1678967639;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/soinlift_galbe.jpg?v=1678967639;https://cdn.shopify.com/s/files/1/0619/6045/4312/products/gamme.jpg?v=1678967639,Resculptant Visage &amp; Cou.,<p>Resculptant Visage &amp; Cou.</p>
,,,,,,,,,,
